
2025/02/16 (15:11:05) | ===> btop++ v.1.4.0
2025/02/16 (15:11:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (15:11:48) | ===> btop++ v.1.4.0
2025/02/18 (15:11:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:48:16) | ===> btop++ v.1.4.0
2025/02/25 (15:48:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (18:26:33) | ===> btop++ v.1.4.0
2025/02/25 (18:26:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (20:54:57) | ===> btop++ v.1.4.0
2025/02/25 (20:54:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (04:45:17) | ===> btop++ v.1.4.0
2025/02/26 (04:45:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (15:03:05) | ===> btop++ v.1.4.0
2025/02/27 (15:03:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (23:24:52) | ===> btop++ v.1.4.0
2025/02/28 (23:24:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:47:19) | ===> btop++ v.1.4.0
2025/03/04 (19:47:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (05:39:09) | ===> btop++ v.1.4.0
2025/03/08 (05:39:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (01:55:45) | ===> btop++ v.1.4.0
2025/03/09 (01:55:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (02:39:33) | ===> btop++ v.1.4.0
2025/03/13 (02:39:33) | WARNING: Intel GPU: Failed to initialize PMU
